Date,D0,Value
1991-08,9J,6.122000000000001
1991-08,10J,6.107
1991-08,20J,6.0360000000000005
1991-08,30J,
1991-09,1J,7.39
1991-09,2J,6.6610000000000005
1991-09,3J,6.445
1991-09,4J,6.353
1991-09,5J,6.301
1991-09,6J,6.266
1991-09,7J,6.242000000000001
1991-09,8J,6.223
1991-09,9J,6.209
1991-09,10J,6.1979999999999995
1991-09,20J,6.146
1991-09,30J,
1991-10,1J,7.8389999999999995
1991-10,2J,7.26
1991-10,3J,7.047999999999999
1991-10,4J,6.944
1991-10,5J,6.88
1991-10,6J,6.834
1991-10,7J,6.795
1991-10,8J,6.761
1991-10,9J,6.729
1991-10,10J,6.6979999999999995
1991-10,20J,6.3839999999999995
1991-10,30J,
1991-11,1J,7.636
1991-11,2J,7.056
1991-11,3J,6.809
1991-11,4J,6.7010000000000005
1991-11,5J,6.653
1991-11,6J,6.6339999999999995
1991-11,7J,6.629
1991-11,8J,6.629
1991-11,9J,6.632999999999999
1991-11,10J,6.6370000000000005
1991-11,20J,6.67
1991-11,30J,
1991-12,1J,7.415
1991-12,2J,6.577999999999999
1991-12,3J,6.379
1991-12,4J,6.349
1991-12,5J,6.35
1991-12,6J,6.356
1991-12,7J,6.361000000000001
1991-12,8J,6.365
1991-12,9J,6.367999999999999
1991-12,10J,6.37
1991-12,20J,6.382000000000001
1991-12,30J,
1992-01,1J,7.22
1992-01,2J,6.627000000000001
1992-01,3J,6.303999999999999
1992-01,4J,6.178999999999999
1992-01,5J,6.143
1992-01,6J,6.14
1992-01,7J,6.147
1992-01,8J,6.157
1992-01,9J,6.167000000000001
1992-01,10J,6.175
1992-01,20J,6.2139999999999995
1992-01,30J,
1992-02,1J,7.242000000000001
1992-02,2J,6.697
1992-02,3J,6.419
1992-02,4J,6.287999999999999
1992-02,5J,6.222
1992-02,6J,6.186
1992-02,7J,6.164
1992-02,8J,6.15
1992-02,9J,6.14
1992-02,10J,6.132000000000001
1992-02,20J,6.099
1992-02,30J,
1992-03,1J,7.917000000000001
1992-03,2J,6.938
1992-03,3J,6.608
1992-03,4J,6.5360000000000005
1992-03,5J,6.546
1992-03,6J,6.5760000000000005
1992-03,7J,6.608
1992-03,8J,6.635
1992-03,9J,6.6579999999999995
1992-03,10J,6.676
1992-03,20J,6.7620000000000005
1992-03,30J,
1992-04,1J,8.104
1992-04,2J,7.228
1992-04,3J,6.854
1992-04,4J,6.705
1992-04,5J,6.638999999999999
1992-04,6J,6.604
1992-04,7J,6.581
1992-04,8J,6.566
1992-04,9J,6.553999999999999
1992-04,10J,6.545
1992-04,20J,6.502999999999999
1992-04,30J,
1992-05,1J,8.494
1992-05,2J,7.522
1992-05,3J,7.071000000000001
1992-05,4J,6.89
1992-05,5J,6.827999999999999
1992-05,6J,6.815
1992-05,7J,6.821000000000001
1992-05,8J,6.834
1992-05,9J,6.848
1992-05,10J,6.861000000000001
1992-05,20J,6.93
1992-05,30J,
1992-06,1J,8.513
1992-06,2J,7.622000000000001
1992-06,3J,7.27
1992-06,4J,7.122000000000001
1992-06,5J,7.047999999999999
1992-06,6J,7.004
1992-06,7J,6.975
1992-06,8J,6.952999999999999
1992-06,9J,6.937
1992-06,10J,6.9239999999999995
1992-06,20J,6.865
1992-06,30J,
1992-07,1J,8.322000000000001
1992-07,2J,7.65
1992-07,3J,7.31
1992-07,4J,7.143
1992-07,5J,7.047999999999999
1992-07,6J,6.987
1992-07,7J,6.944
1992-07,8J,6.912000000000001
1992-07,9J,6.8870000000000005
1992-07,10J,6.867000000000001
1992-07,20J,6.778
1992-07,30J,
1992-08,1J,7.7
1992-08,2J,7.292000000000001
1992-08,3J,7.061
1992-08,4J,6.959
1992-08,5J,6.912999999999999
1992-08,6J,6.888999999999999
1992-08,7J,6.875
1992-08,8J,6.8660000000000005
1992-08,9J,6.859
1992-08,10J,6.854
1992-08,20J,6.83
1992-08,30J,
1992-09,1J,6.959
1992-09,2J,6.779
1992-09,3J,6.606
1992-09,4J,6.478
1992-09,5J,6.393
1992-09,6J,6.341
1992-09,7J,6.312
1992-09,8J,6.297999999999999
1992-09,9J,6.292000000000001
1992-09,10J,6.292000000000001
1992-09,20J,6.33
1992-09,30J,
1992-10,1J,5.95
1992-10,2J,5.821000000000001
1992-10,3J,5.791
1992-10,4J,5.816
1992-10,5J,5.865
1992-10,6J,5.922999999999999
1992-10,7J,5.979
1992-10,8J,6.028
1992-10,9J,6.065
1992-10,10J,6.0920000000000005
1992-10,20J,5.851
1992-10,30J,
